subject,trial,movement,noise,sound,tp_evt,fp_evt,fn_evt,se_evt,ppv_evt,f1_evt,n_pred,n_true,duration
14547,2,walk,nothing,deep_breathing,0,1,0,nan,0.0,0.0,1,0,14.49
14547,2,walk,nothing,throat_clearing,0,2,0,nan,0.0,0.0,2,0,10.15
14547,2,walk,someone_else_cough,cough,10,2,4,0.7142857142857143,0.8333333333333334,0.7692307692307693,17,12,8.28
14547,2,walk,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,10.67
14547,2,walk,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,12.57
14547,2,walk,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,8.8
14547,2,walk,traffic,cough,10,3,3,0.7692307692307693,0.7692307692307693,0.7692307692307693,22,13,8.84
14547,2,walk,traffic,laugh,0,0,0,nan,nan,nan,0,0,11.01
14547,2,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,10.5
14547,2,walk,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,11.03
14547,3,sit,music,cough,11,3,5,0.6875,0.7857142857142857,0.7333333333333333,23,16,11.31
14547,3,sit,music,laugh,0,3,0,nan,0.0,0.0,3,0,8.94
14547,3,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,9.28
14547,3,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,9.86
14547,3,sit,nothing,cough,6,3,4,0.6,0.6666666666666666,0.631578947368421,14,9,8.73
14547,3,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,12.62
14547,3,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,9.59
14547,3,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,7.68
14547,3,sit,someone_else_cough,cough,8,1,5,0.6153846153846154,0.8888888888888888,0.7272727272727273,20,13,8.78
14547,3,sit,someone_else_cough,laugh,0,1,0,nan,0.0,0.0,1,0,8.75
14547,3,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,8.77
14547,3,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,9.24
14547,3,sit,traffic,cough,10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,20,11,8.75
14547,3,sit,traffic,laugh,0,1,0,nan,0.0,0.0,1,0,9.54
14547,3,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,9.17
14547,3,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,10.51
14547,3,walk,music,cough,9,0,7,0.5625,1.0,0.72,27,15,10.04
14547,3,walk,music,laugh,0,0,0,nan,nan,nan,0,0,12.2
14547,3,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,11.15
14547,3,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,9.77
14547,3,walk,nothing,cough,9,2,2,0.8181818181818182,0.8181818181818182,0.8181818181818182,19,11,8.06
14547,3,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,9.31
14547,3,walk,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,8.33
14547,3,walk,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,9.33
14547,3,walk,someone_else_cough,cough,9,1,4,0.6923076923076923,0.9,0.782608695652174,19,13,9.74
14547,3,walk,someone_else_cough,laugh,0,1,0,nan,0.0,0.0,1,0,9.41
14547,3,walk,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,10.13
14547,3,walk,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,10.22
14547,3,walk,traffic,cough,11,1,2,0.8461538461538461,0.9166666666666666,0.88,19,12,8.83
14547,3,walk,traffic,laugh,0,0,0,nan,nan,nan,0,0,10.02
14547,3,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,9.56
14547,3,walk,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,11.56
20794,1,sit,music,cough,8,2,1,0.8888888888888888,0.8,0.8421052631578947,16,9,8.51
20794,1,sit,music,laugh,0,0,0,nan,nan,nan,0,0,11.33
20794,1,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,11.32
20794,1,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,10.83
20794,1,sit,nothing,cough,4,0,6,0.4,1.0,0.5714285714285714,4,10,8.9
20794,1,sit,nothing,laugh,0,1,0,nan,0.0,0.0,1,0,9.61
20794,1,sit,nothing,deep_breathing,0,1,0,nan,0.0,0.0,1,0,10.22
